numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
834,159,303,260,3,0,7,47,21,2064.39,0.07,3,2,0,10,0,1,1,10.0,1,0,0,0,2,206.44,22,8,25,1,7,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization21,186,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getfunction,net.objecthunter.exp4j.tokenizer.tokenizer.getfunction:186
834,159,303,260,3,0,7,47,21,2064.39,0.07,3,2,0,10,0,1,1,10.0,1,0,0,0,2,206.44,22,8,25,1,7,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization21,189,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getfunction,net.objecthunter.exp4j.tokenizer.tokenizer.getfunction:189
820,168,441,260,7,0,17,150,44,13766.24,0.27,5,8,0,24,0,1,1,16.81,4,0,0,1,7,818.91,65,25,85,4,33,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,223,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator:223
452,160,415,260,7,0,17,150,44,13766.24,0.27,5,8,0,24,0,1,1,16.81,4,0,0,1,7,818.91,65,25,85,4,33,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,228,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator:228
414,147,392,260,7,0,17,150,44,13766.24,0.27,5,8,0,24,0,1,1,16.81,4,0,0,1,7,818.91,65,25,85,4,33,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization11,232,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator:232
83,32,180,260,7,0,17,150,44,13766.24,0.27,5,8,0,24,0,1,1,16.81,4,0,0,1,7,818.91,65,25,85,4,33,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization8,236,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator:236
820,168,441,260,7,0,17,150,44,13766.24,0.27,5,8,0,24,0,1,1,16.81,4,0,0,1,7,818.91,65,25,85,4,33,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,244,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator,net.objecthunter.exp4j.tokenizer.tokenizer.getoperator:244
2330,271,567,260,1,0,2,14,13,181.32,0.02,0,0,0,3,0,0,1,3.5,0,0,0,0,0,51.81,6,3,8,0,2,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ConditionalsBoundaryMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,66,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.hasnext,net.objecthunter.exp4j.tokenizer.tokenizer.hasnext:66
2330,271,567,260,1,0,2,14,13,181.32,0.02,0,0,0,3,0,0,1,3.5,0,0,0,0,0,51.81,6,3,8,0,2,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,66,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.hasnext,net.objecthunter.exp4j.tokenizer.tokenizer.hasnext:66
2330,271,567,260,1,0,2,14,13,181.32,0.02,0,0,0,3,0,0,1,3.5,0,0,0,0,0,51.81,6,3,8,0,2,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,66,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.hasnext,net.objecthunter.exp4j.tokenizer.tokenizer.hasnext:66
1891,185,346,260,1,0,2,15,13,226.65,0.02,1,1,0,3,0,1,2,4.08,0,0,0,0,0,55.51,7,1,8,0,1,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,277,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isalphabetic,net.objecthunter.exp4j.tokenizer.tokenizer.isalphabetic:277
1513,262,569,260,1,0,2,12,11,149.45,0.01,0,0,0,3,0,1,1,3.6,0,0,0,0,0,41.51,6,1,6,0,1,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,129,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isargumentseparator,net.objecthunter.exp4j.tokenizer.tokenizer.isargumentseparator:129
1513,262,569,260,1,0,2,12,11,149.45,0.01,0,0,0,3,0,1,1,3.6,0,0,0,0,0,41.51,6,1,6,0,1,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,129,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isargumentseparator,net.objecthunter.exp4j.tokenizer.tokenizer.isargumentseparator:129
1204,262,569,260,1,0,2,20,14,380.74,0.03,0,0,0,3,0,1,1,5.0,0,0,0,0,0,76.15,10,3,10,0,5,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,147,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.iscloseparentheses,net.objecthunter.exp4j.tokenizer.tokenizer.iscloseparentheses:147
4058,278,582,260,1,0,2,14,13,211.54,0.02,0,0,0,3,0,1,1,4.08,0,0,0,0,0,51.81,7,2,7,0,1,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ConditionalsBoundaryMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization1,288,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isendofexpression,net.objecthunter.exp4j.tokenizer.tokenizer.isendofexpression:288
770,192,421,260,1,0,2,41,22,1523.64,0.06,1,1,0,4,0,2,2,8.33,0,0,0,0,0,182.84,20,7,21,0,12,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization1,272,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric:272
770,192,421,260,1,0,2,41,22,1523.64,0.06,1,1,0,4,0,2,2,8.33,0,0,0,0,0,182.84,20,7,21,0,12,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization20,272,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric:272
770,192,421,260,1,0,2,41,22,1523.64,0.06,1,1,0,4,0,2,2,8.33,0,0,0,0,0,182.84,20,7,21,0,12,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization11,272,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric:272
770,192,421,260,1,0,2,41,22,1523.64,0.06,1,1,0,4,0,2,2,8.33,0,0,0,0,0,182.84,20,7,21,0,12,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder12,272,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric:272
770,192,421,260,1,0,2,41,22,1523.64,0.06,1,1,0,4,0,2,2,8.33,0,0,0,0,0,182.84,20,7,21,0,12,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization1,272,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric,net.objecthunter.exp4j.tokenizer.tokenizer.isnumeric:272
1455,262,569,260,1,0,2,20,14,380.74,0.03,0,0,0,3,0,1,1,5.0,0,0,0,0,0,76.15,10,3,10,0,5,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,143,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isopenparentheses,net.objecthunter.exp4j.tokenizer.tokenizer.isopenparentheses:143
1455,262,569,260,1,0,2,20,14,380.74,0.03,0,0,0,3,0,1,1,5.0,0,0,0,0,0,76.15,10,3,10,0,5,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,143,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isopenparentheses,net.objecthunter.exp4j.tokenizer.tokenizer.isopenparentheses:143
2872,184,345,260,1,0,2,27,18,731.82,0.04,1,1,1,6,0,1,2,6.5,0,0,0,0,0,112.59,13,4,14,0,7,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,281,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isvariableorfunctioncharacter,net.objecthunter.exp4j.tokenizer.tokenizer.isvariableorfunctioncharacter:281
425,168,317,260,1,0,2,27,18,731.82,0.04,1,1,1,6,0,1,2,6.5,0,0,0,0,0,112.59,13,4,14,0,7,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerUnknownTokenOrVariableTest.testTokenizationOfUnknownFunction2Details,282,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isvariableorfunctioncharacter,net.objecthunter.exp4j.tokenizer.tokenizer.isvariableorfunctioncharacter:282
2872,184,345,260,1,0,2,27,18,731.82,0.04,1,1,1,6,0,1,2,6.5,0,0,0,0,0,112.59,13,4,14,0,7,0,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,ReturnValsMutator,Z,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,281,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.isvariableorfunctioncharacter,net.objecthunter.exp4j.tokenizer.tokenizer.isvariableorfunctioncharacter:281
370,91,196,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,MathMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization21,72,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:72
2414,278,582,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization1,71,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:71
401,162,400,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization5,76,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:76
130,77,194,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization15,79,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:79
39,20,33,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization19,81,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:81
1455,262,569,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization13,90,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:90
190,134,281,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.ExpressionBuilderTest.testPostfixParanthesis,93,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:93
188,133,280,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.tokenizer.TokenizerTest.testTokenization21,94,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:94
5,5,5,260,13,4,29,343,63,62414.82,0.68,6,7,9,47,4,0,1,30.44,1,0,0,2,12,2050.21,141,61,202,3,90,1,18,0.07,2.78,159,2.41,157539.25,26,8,6,18,14,106.03,6,227,38.0,1,1,106.03,0.0,0.0,0.19,14,86.0,13,7236.08,0,16,13,java.lang.Object,0.0,0,0,50,0,0,2,0,6,1381,1,10,256,1.89,2.93,165859.48,1797,8783.49,95.29,206,356,5,72,35,0.5,0.4,3,38,113.16,0.1,13,3,NegateConditionalsMutator,method,True,net.objecthunter.exp4j.ExpressionBuilderTest.testExpression79,95,net.objecthunter.exp4j.tokenizer.tokenizer,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken,net.objecthunter.exp4j.tokenizer.tokenizer.nexttoken:95
